"TCP" "NDN"
18.4214 23.9635
32.2434 34.7993
21.3919 25.5402
39.5797 36.3426
29.3027 31.746
34.3474 21.1368
36.4085 36.2447
20.4965 20.9294
49.4642 48.0914
25.4347 26.6971
32.976 39.6442
57.1728 36.8928
33.4044 40.1494
48.1208 44.0823
27.6429 31.8805
41.3918 40.5209
62.0586 46.0246
43.4505 45.6058
44.0953 31.3489
26.9008 26.7157
31.9114 36.5273
51.257 48.7572
38.8237 39.1095
29.6749 33.9589
37.0613 29.6095
31.0316 42.2808
39.0448 27.1071
39.0201 41.4664
35.079 22.1201
38.9567 34.3602
40.6115 31.711
50.1968 41.0611
18.4486 17.5707
48.0117 40.7152
38.3267 31.9727
42.2231 31.1539
22.5384 23.45
36.0012 40.0954
32.8633 32.3784
23.5596 28.0647
45.9107 52.8916
88.4797 65.9133
44.8718 41.3393
97.1727 73.2465
18.37 24.669
34.9515 51.6372
31.2399 28.0462
107.315 72.1354
103.556 73.1279
29.5527 57.0545
105.983 69.2469
28.7916 31.9606
37.318 49.9802
32.4392 52.495
22.2373 55.1723
27.1035 31.237
85.6364 39.8273
30.5237 30.7918
45.811 33.0335
30.8296 49.2204
25.8756 14.9722
31.8136 32.761
36.327 30.6093
41.3077 33.965
83.9328 41.0735
50.561 42.358
19.8967 23.2141
20.6682 21.6757
24.4163 25.5597
21.7383 24.1993
58.4142 31.2857
29.1162 28.4197
57.8666 49.0578
33.4093 33.8617
38.9363 41.6079
84.0593 27.5763
89.1898 58.1644
23.3981 25.174
33.5406 29.4803
38.212 33.4059
51.6563 43.514
48.7015 39.0276
44.2215 44.4097
56.4281 34.8162
61.5252 46.1162
22.411 25.1698
38.3341 20.8304
23.0101 25.9228
29.3562 34.4055
33.2018 38.4263
57.913 46.2619
23.1653 28.2887
59.8065 38.221
24.454 33.434
27.3642 28.544
26.5187 29.2575
48.1018 46.7187
32.3964 36.0734
33.6688 22.5987
36.3782 41.0118
39.8985 43.8884
21.3856 10.3515
21.3059 36.478
46.2377 45.5181
25.841 34.7292
60.0117 62.5001
34.6545 32.3822
49.0805 62.1298
30.411 40.1047
32.454 41.4693
20.6322 34.2382
44.6654 50.4596
27.5357 27.395
50.7442 21.2669
58.9146 39.3145
29.8288 40.9658
65.4739 62.9412
37.8232 42.3427
24.8756 29.628
30.2616 12.5707
40.0919 49.6361
39.5123 43.9866
43.0353 17.2228
19.7311 22.269
77.7939 63.5981
27.4809 29.7479
41.5512 38.8197
59.578 43.1692
19.6427 24.6095
21.8619 34.5
43.2651 39.1103
86.1973 66.131
89.2863 64.1503
32.8011 35.106
30.7183 35.5051
71.352 60.4798
34.9118 35.6966
21.5105 12.8113
42.1193 25.6918
35.3252 36.5374
37.9509 40.2147
63.7599 42.8958
51.0975 29.4805
41.9424 47.1702
61.0261 24.5136
24.1082 43.5173
28.5749 32.3508
63.652 36.8368
66.7812 53.2383
21.3977 28.611
67.6031 38.1401
28.4884 54.3889
24.1459 25.8441
40.3068 36.532
60.5884 43.1086
40.5072 29.0902
36.3458 41.8328
36.7227 34.8668
47.4662 39.3463
39.5107 41.119
19.3814 23.2687
29.4507 31.9941
21.4056 26.0727
30.5246 34.8158
39.1781 45.4673
36.5246 39.2259
34.4392 36.8951
53.3316 45.0642
34.6965 40.7875
53.7319 44.01
33.7822 40.383
46.6837 45.8399
24.3642 25.544
23.9054 33.2164
59.7495 26.9472
28.5909 35.4641
44.8745 41.6598
54.2111 31.7619
37.6297 35.4523
47.7272 29.1711
35.0457 38.3764
37.3746 43.5656
47.847 35.1649
21.3696 28.148
32.3775 45.9057
22.4388 23.4986
28.2456 52.3208
19.762 22.8936
18.4545 26.3944
30.1063 43.6843
49.2115 44.8805
52.872 50.3722
40.761 34.7703
49.7745 55.4546
28.1349 48.3717
41.0655 42.627
41.9293 53.9242
27.1639 31.8766
21.4085 38.1888
50.4989 42.1496
42.2047 66.2142
50.7766 57.9789
32.4827 34.8827
57.9487 55.3325
18.5147 22.0605
61.2789 54.4755
25.6301 26.6054
23.5892 18.3293
19.4061 15.2794
21.2597 21.8083
81.0709 65.0466
25.2972 29.0279
29.5963 39.9646
69.7652 46.0633
23.5815 30.5753
27.2087 40.4118
21.6332 24.289
53.2586 64.5783
69.3291 69.893
28.8385 35.4547
31.6842 34.8357
46.5842 24.616
53.1617 58.6944
57.0025 35.7609
20.0222 14.0817
30.3211 50.8428
32.6574 43.2864
25.6322 38.3633
26.384 23.8035
37.4871 47.4811
28.3253 29.6049
24.749 29.4703
39.4419 50.1959
49.5512 42.2467
20.4829 22.9964
42.5005 52.6359
49.6158 47.7557
42.761 34.9235
31.4033 39.7305
25.7243 31.3768
21.9084 35.1146
53.1783 41.5985
26.9783 34.4273
20.3795 27.0089
19.4907 28.9564
35.9352 49.0145
29.6805 35.1884
28.3791 26.6805
36.776 40.1669
37.3631 36.3127
35.4912 33.5333
63.977 49.4373
38.3859 29.5443
31.9689 39.3596
41.9021 47.0192
21.689 23.5554
67.5178 50.6144
36.7605 48.4311
49.1336 34.9258
41.9336 15.1118
68.7101 45.9902
26.5307 44.5668
74.1505 37.2874
54.3954 35.2786
36.6621 18.4904
34.8692 45.8389
19.4219 21.8735
26.1799 29.3392
35.5217 43.7019
33.1961 32.2566
28.6137 27.4315
37.2173 40.72
33.4654 36.1883
69.4718 46.186
57.3244 45.9418
40.2632 42.2155
33.2691 42.8781
41.8159 31.1892
60.5828 38.1927
36.8095 30.847
36.2766 27.5181
27.4251 30.8866
88.7664 36.0239
36.2351 35.773
25.4519 27.5803
24.9988 29.8795
50.7898 54.3181
26.5344 31.4098
82.5604 53.8476
23.1496 22.9033
29.8932 28.6275
22.951 34.9275
57.9801 38.0249
34.9695 41.5905
40.0237 55.8871
58.6422 45.4963
79.4201 24.321
21.5931 32.3694
50.9307 53.0976
32.7311 32.5692
34.8245 39.3009
61.3323 59.0201
48.8792 45.3631
59.1969 43.8939
23.4797 25.4041
28.3371 20.2636
35.3674 38.7186
30.5367 25.2794
49.1984 44.5788
42.7184 40.859
31.943 33.9445
42.694 42.1702
36.5909 44.0782
65.4392 57.4214
46.8245 37.9296
32.1771 35.4558
41.1036 28.0676
48.1987 46.5028
48.9524 45.1277
61.8256 46.9458
23.6184 26.3157
54.5632 19.7882
45.2272 19.9297
32.9299 44.0307
82.1583 40.9301
42.8752 26.1927
41.7651 46.4887
71.914 40.9791
19.646 13.2439
35.5478 43.1145
23.0312 42.6971
26.46 27.7058
46.6343 38.5298
57.3917 37.5114
29.1517 31.8276
34.1388 34.8676
46.9265 38.3592
71.962 48.5849
58.5812 50.3521
57.8945 28.8124
27.3274 28.5378
79.1943 31.0455
31.0627 33.5984
20.4085 17.6818
50.5632 33.4152
32.4876 37.6421
38.0832 48.3236
23.6169 39.8664
76.1018 36.4234
56.8393 39.105
40.3404 26.7125
58.8475 43.4996
77.9761 39.9824
26.3518 16.5134
19.2219 22.3766
37.3443 34.7278
66.4972 40.9771
35.2125 42.9672
32.3751 28.2881
20.4654 10.4059
19.3675 20.5484
36.4108 36.8477
45.5376 43.3665
26.4006 17.6484
46.7861 30.8003
46.6305 47.8929
36.9842 23.1162
61.6641 19.1296
29.6125 33.8116
63.5158 37.8407
54.0371 28.0804
51.4313 38.6089
29.3762 29.998
29.8643 30.999
56.4573 39.4469
25.5085 17.4294
43.2257 48.281
38.8076 51.6672
59.895 37.6609
45.9846 8.60696
35.9451 48.4963
57.8361 27.1147
56.254 43.516
37.4706 33.482
29.2618 23.2684
20.5997 26.3129
44.0186 43.018
39.6319 40.4846
18.9753 19.1113
39.7992 40.6965
63.3617 47.5944
37.0233 35.1592
19.6499 28.5921
35.5133 44.5463
29.5759 30.5239
52.2787 35.5075
36.7286 52.7211
33.6258 36.3557
35.6441 38.288
39.1788 36.6854
28.0993 29.0209
28.4429 30.3066
48.4514 40.1933
33.5246 36.8131
37.9622 40.5549
53.4135 40.7467
45.0478 47.9208
26.4854 36.7111
21.6589 17.4845
31.8926 36.2265
37.5121 45.7565
48.0906 39.3503
25.4598 23.1295
46.4484 43.6849
38.6092 35.2851
21.2543 13.4228
20.7014 28.6894
46.5573 44.2119
36.1537 45.632
44.2452 37.2371
40.7177 53.325
57.2542 44.9247
36.6843 45.3897
67.6768 24.3981
52.9495 44.4311
26.5135 16.1033
57.5707 54.4938
28.8036 38.9188
64.728 54.1117
58.4464 30.4353
35.963 39.9193
71.8859 44.0702
68.6933 32.1483
29.4077 31.2839
37.3448 51.2643
62.7904 42.8299
44.0585 40.0357
62.6296 15.6604
60.0217 36.377
25.455 25.9061
35.632 46.2569
18.9718 18.3646
44.1012 47.6077
40.7645 39.5273
53.3248 23.1094
22.455 22.9061
33.289 25.1667
83.2693 47.4215
94.8407 44.876
36.4658 33.4868
94.4428 46.6757
51.3722 27.4513
29.9826 47.5676
35.8355 40.1598
53.6151 46.9001
22.1866 35.2975
74.8583 39.3887
51.123 45.9433
24.9609 28.7292
36.9492 18.5715
39.2385 37.7213
24.5832 31.8197
38.2343 39.5296
43.5365 30.8301
29.6984 35.4182
32.9108 40.9738
34.6475 37.771
41.8879 41.7553
33.6209 34.9947
42.11 34.6725
39.7506 40.7784
22.7892 17.8426
28.8064 33.1235
22.2866 27.0695
25.3448 30.8789
27.8494 28.7524
24.4977 22.6993
48.9037 39.0401
27.2213 30.4901
44.1479 7.25997
36.4867 44.699
70.8243 42.2726
30.0998 42.0083
58.1839 16.9277
54.4626 35.8908
41.777 30.9789
58.2322 59.8609
37.333 34.5603
21.3675 11.1625
42.2313 47.4339
31.6593 32.8639
68.333 49.1567
30.1397 35.8022
68.3239 46.1037
44.2852 43.6465
24.1115 21.1364
39.456 30.4062
51.8637 34.8224
43.7809 37.0641
36.8136 27.622
33.3821 34.9355
35.9291 44.1926
28.8684 38.6828
19.7805 25.1457
33.1255 9.7372
51.1855 32.4369
36.1996 48.9421
35.6844 42.7712
25.8608 35.7593
40.0525 25.7355
42.1414 42.0236
46.7198 40.7274
31.3408 31.8649
18.6296 23.6596
36.656 44.6122
60.3725 42.9679
57.5111 24.4427
27.2184 46.2348
26.6953 42.654
74.6257 47.5646
58.0889 38.1845
38.3329 31.3942
20.3551 21.5424
22.7009 16.1513
30.4731 30.907
65.9555 59.8562
34.7625 52.442
21.9939 33.2262
39.8043 32.1149
24.327 26.2093
40.2712 63.572
57.1804 41.9231
57.4056 24.4061
30.4503 34.002
27.4872 38.5623
31.5001 38.2207
70.1875 47.2538
26.4163 27.5597
51.3816 43.5885
77.9623 52.2185
40.3386 35.6447
29.4157 23.9536
66.1678 40.2366
46.4982 33.5126
20.1683 24.377
26.4249 14.7149
41.9561 42.4309
44.2099 29.7571
24.3998 35.5801
52.1722 18.4275
75.5109 46.4716
48.4173 55.5436
32.1919 27.8717
22.3434 23.5405
34.5575 38.7063
37.4217 38.6601
51.4473 35.4491
43.8235 32.737
27.8134 25.2777
72.8696 16.7705
26.3952 21.179
18.9616 21.8777
43.0706 25.8549
23.4568 26.8037
38.273 33.4742
25.1797 22.9476
48.2058 40.0969
29.0541 33.2007
19.3253 13.7245
36.2581 31.3904
43.9118 41.9459
24.5187 28.297
29.3995 26.6192
56.5664 41.1276
59.1181 39.1415
27.4965 27.9294
51.0834 39.8133
54.9361 37.7648
41.2011 22.6378
34.4082 27.3183
63.9835 47.3151
38.8609 37.6066
41.7957 47.9041
34.3849 16.6357
50.1233 43.4679
47.8027 11.0882
26.7164 40.714
42.3703 43.2383
52.1062 47.7804
26.863 39.494
43.3418 40.5317
33.909 27.0334
58.7203 49.8396
46.6307 40.6115
23.3321 16.269
38.2767 29.1738
37.8592 37.9219
59.594 45.4333
56.1766 45.0937
28.3406 25.313
25.8449 31.6773
41.026 42.5696
39.4058 38.0215
19.3583 22.3284
39.8319 34.3068
56.2739 40.8247
38.1589 32.0905
37.6328 37.3506
52.2931 43.2402
53.536 28.6413
25.6582 28.1458
54.2701 34.5862
21.7671 19.77
27.994 36.4071
53.4207 36.0769
29.693 24.8338
37.2304 43.0154
38.7936 41.4121
22.38 26.3761
45.7059 32.8963
36.5036 40.6879
28.742 37.2232
44.4731 36.0923
41.0749 51.6722
32.17 47.933
98.1213 26.8814
28.1772 40.2708
18.7271 20.2231
103.237 43.4361
82.9404 46.3194
36.4846 32.0442
33.3429 30.7324
21.4933 25.4353
24.9496 31.7706
38.077 46.7976
86.903 48.0003
58.6675 46.1114
23.1134 27.3033
110.166 37.0369
31.7464 30.7999
33.3664 39.0444
23.9196 32.3445
19.7646 18.0485
54.3942 31.2204
46.2366 46.3173
56.9944 34.3791
62.2283 56.6466
27.9674 54.4018
24.3237 45.1539
60.9573 46.1526
20.4615 29.697
49.9612 48.367
48.4707 34.2257
39.7272 47.9408
34.5451 47.5444
22.3249 35.96
56.6219 55.4609
40.0287 48.8513
28.7622 20.5931
30.6245 50.2839
57.6892 45.2881
60.5396 45.3201
30.4619 41.1533
24.1691 40.9198
25.9192 34.5768
28.4388 30.0685
38.0524 41.8913
40.4338 47.2613
25.8912 28.6545
20.9044 22.7702
47.7502 51.7182
27.644 36.2081
27.8219 32.0166
46.1044 42.1811
26.4366 33.6832
65.6053 38.9371
47.7555 54.5776
38.7782 48.7432
59.3361 41.6797
33.4639 42.0724
37.1374 48.3143
68.3766 51.4297
23.7461 9.53982
32.9662 30.5302
19.4965 20.2442
75.3998 41.3208
52.367 53.311
34.6954 37.2942
37.7351 36.2715
58.7097 40.5945
73.1157 36.4479
30.6105 35.2459
49.9377 58.9332
35.5442 31.9931
55.4474 44.0205
65.8458 43.6253
44.7546 40.8144
40.7098 36.7645
24.4126 21.9543
29.601 30.6023
30.4438 33.7613
44.7514 37.3743
44.1605 57.1895
36.8333 27.5514
40.8519 41.0201
22.8638 27.4207
36.3314 37.5385
35.5009 20.9221
40.9164 42.0373
30.5425 35.7774
26.6947 30.1806
52.8069 44.8575
57.9901 39.8653
53.3415 42.0825
44.1327 52.8384
38.1601 42.1809
71.8703 57.0767
39.6486 39.7864
56.832 32.7894
67.5578 6.88214
37.4272 37.1677
25.5769 28.7467
33.412 38.0934
69.8424 65.1187
89.0163 67.7266
26.0229 38.1894
85.3302 56.6185
60.1859 35.6832
58.7567 63.0165
56.4333 68.4482
37.8281 26.7335
34.5994 41.4616
33.5639 31.1896
43.9464 34.8829
47.1742 38.4984
31.8014 39.8233
19.3964 20.554
36.9506 19.6242
35.9465 35.8021
30.3752 12.2194
33.3279 34.5379
25.0928 15.7969
34.0012 24.0808
63.601 50.3322
40.695 52.1703
65.8196 33.0939
25.0782 41.6458
42.9917 50.2659
72.4421 57.0881
72.2713 49.2381
52.393 56.4482
60.4314 52.9235
64.4336 47.552
19.3745 26.0489
45.2028 29.8641
32.5048 37.1484
66.8331 41.862
42.0549 43.8476
73.7798 40.4674
37.9346 25.5539
32.3937 34.9676
72.021 24.0233
38.8237 27.9207
74.0947 29.6374
30.917 33.2995
20.8086 21.7996
67.3412 24.8859
36.467 34.4775
49.1392 39.4272
19.5076 10.9328
45.2942 38.9368
25.1558 33.6262
98.6133 45.2182
95.5904 68.9193
56.2404 35.0793
55.3539 56.4742
74.8734 50.8622
85.1462 64.9239
44.0826 36.2204
26.9563 18.369
21.8104 22.2091
26.4505 9.28202
26.0449 17.0189
35.9933 36.1596
48.8016 43.2616
46.9072 43.4383
44.6048 38.7831
52.2445 47.0552
47.1714 38.4042
42.2356 36.9125
25.9108 32.6232
26.7418 28.0412
42.7778 29.4489
21.3956 23.9069
46.0013 18.8353
55.4362 35.0707
33.7141 40.8882
25.6483 26.1457
36.3773 39.7961
27.4891 29.0905
24.715 26.4896
48.1168 38.9905
67.9844 57.5676
37.3986 47.3594
39.217 31.6355
33.1709 31.3404
24.4503 27.5853
66.9064 59.588
43.4611 42.4139
25.2665 26.0312
69.988 58.6523
45.9784 32.3128
25.5198 35.9288
64.8788 43.9817
43.6741 65.39
25.3964 34.6099
52.511 38.4614
24.7018 37.3676
39.3303 39.3501
50.8345 41.1914
23.7749 23.6776
45.5255 34.8431
26.1922 32.6457
28.0186 38.85
36.0543 41.8339
38.2749 27.1253
34.432 32.7383
30.0978 39.7677
25.5391 25.9432
56.5558 32.7668
35.4297 38.2363
53.7795 39.8355
29.3481 26.8178
31.5832 35.8198
57.1312 41.8178
21.4143 25.6431
54.7563 43.6354
45.69 40.6695
24.9567 31.8654
57.3643 31.0605
23.1816 34.1175
49.5299 37.0577
50.51 52.8334
25.4745 32.8309
34.828 17.0912
36.6805 43.5326
49.3642 50.6465
61.4111 32.4264
56.4321 43.9956
49.1356 29.3404
24.375 31.7528
32.8378 34.738
49.5065 32.1224
37.4044 38.5559
56.7693 41.2646
44.5772 39.4201
60.9902 48.8366
33.7347 42.5406
33.2954 37.6809
45.3798 35.3595
59.943 32.0942
67.6089 35.0896
22.4764 25.6814
21.0011 24.7467
34.0941 42.0119
37.1731 37.5481
64.0356 44.485
19.5515 28.6958
72.5452 33.1785
