"TCP" "NDN"
62.0586 48.0914
51.257 48.7572
107.315 73.2465
89.1898 58.1644
61.5252 46.7187
65.4739 62.9412
89.2863 66.131
67.6031 54.3889
59.7495 45.8399
52.872 55.4546
81.0709 69.893
57.0025 58.6944
67.5178 50.6144
74.1505 46.186
88.7664 55.8871
65.4392 59.0201
82.1583 50.3521
79.1943 48.3236
63.5158 51.6672
63.3617 52.7211
53.4135 47.9208
71.8859 54.4938
94.8407 47.6077
48.9037 41.7553
70.8243 59.8609
74.6257 48.9421
77.9623 63.572
75.5109 55.5436
59.1181 41.9459
63.9835 49.8396
56.2739 43.2402
110.166 51.6722
62.2283 56.6466
65.6053 54.5776
75.3998 58.9332
71.8703 57.1895
89.0163 68.4482
73.7798 57.0881
98.6133 68.9193
55.4362 47.0552
69.988 65.39
57.3643 43.6354
61.4111 52.8334
72.5452 49.7119
77.8784 63.2735
85.0184 51.6483
75.9605 58.8983
101.414 50.6557
75.6987 44.7381
62.3053 53.7112
62.473 54.7176
68.9107 70.1229
90.7523 69.147
56.932 60.8421
68.4783 60.8868
60.0512 48.9117
66.003 57.1809
72.0075 49.8974
106.488 64.1623
80.0469 58.1457
79.055 69.1708
69.5587 48.2357
69.5707 53.4844
65.837 54.2869
70.6217 54.9093
70.2631 49.3735
66.5903 56.9768
82.193 54.9753
45.5284 48.6592
60.6335 55.6104
68.3452 61.8243
87.9162 69.2532
68.7744 49.2019
82.5435 59.5888
74.9623 67.5652
75.1911 51.1278
107.189 66.7037
76.7212 57.0743
75.4603 54.4194
75.1579 56.0518
74.2583 58.6541
92.1255 58.5673
57.0665 61.0505
60.6082 65.3067
64.5442 56.2126
60.3544 54.723
65.3514 51.6069
54.2426 50.8475
88.8671 74.1694
93.0329 52.7506
69.938 46.5327
63.4051 46.7346
61.9767 51.2401
78.4112 47.0133
80.3037 55.4058
56.3989 47.3969
93.5384 59.538
68.1465 58.0657
61.324 61.2624
75.0512 51.6905
